contentId,BOOKMARK,COMMENT CREATED,FOLLOW,LIKE,VIEW,virality
-9222795471790223670,1.0,2.0,3.0,4.0,16.0,227.0
-9216926795620865886,1.0,1.0,1.0,3.0,15.0,162.0
-9194572880052200111,2.0,1.0,1.0,4.0,21.0,272.0
-9192549002213406534,0.0,1.0,0.0,5.0,50.0,80.0
-9190737901804729417,0.0,0.0,0.0,1.0,8.0,12.0
-9189659052158407108,2.0,0.0,0.0,1.0,33.0,237.0
-9184137057748005562,0.0,0.0,0.0,0.0,1.0,1.0
-9176143510534135851,2.0,0.0,0.0,8.0,23.0,255.0
-9172673334835262304,0.0,0.0,0.0,0.0,1.0,1.0
-9171475473795142532,1.0,0.0,0.0,0.0,4.0,104.0
-9166778629773133902,0.0,0.0,0.0,0.0,5.0,5.0
-9161596996229760398,1.0,2.0,0.0,1.0,11.0,135.0
-9160910454530522563,0.0,0.0,0.0,0.0,37.0,37.0
-9157338616628196758,0.0,0.0,0.0,0.0,5.0,5.0
-9153494109165200346,0.0,0.0,0.0,0.0,2.0,2.0
-9152398073968262186,0.0,0.0,0.0,0.0,1.0,1.0
-9147114693160126293,0.0,0.0,0.0,0.0,8.0,8.0
-9137036168156595470,1.0,0.0,0.0,0.0,9.0,109.0
-9128741757954228992,0.0,0.0,1.0,4.0,40.0,81.0
-9128652074338368262,1.0,0.0,0.0,4.0,14.0,130.0
-9107331682787867601,0.0,0.0,0.0,1.0,7.0,11.0
-9105040345021932755,0.0,0.0,0.0,1.0,7.0,11.0
-9103776596534246502,0.0,0.0,0.0,0.0,1.0,1.0
-9102431381393428051,1.0,0.0,0.0,0.0,27.0,127.0
-9100490342054218852,0.0,0.0,0.0,0.0,2.0,2.0
-9099155556042679205,0.0,1.0,0.0,2.0,3.0,21.0
-9095002324981651252,0.0,1.0,1.0,1.0,2.0,41.0
-9092333155845304874,0.0,0.0,0.0,0.0,6.0,6.0
-9090514312860140897,1.0,0.0,0.0,3.0,23.0,135.0
-9089854794058353436,0.0,0.0,0.0,1.0,6.0,10.0
-9086955082453789880,0.0,0.0,0.0,6.0,27.0,51.0
-9083294960368598209,2.0,0.0,0.0,1.0,24.0,228.0
-9081753261356157170,2.0,0.0,0.0,1.0,6.0,210.0
-9080873096647717414,1.0,0.0,0.0,0.0,6.0,106.0
-9076501258717815738,1.0,0.0,0.0,1.0,14.0,118.0
-9073210245497295284,2.0,2.0,0.0,4.0,20.0,256.0
-9071883412530082330,1.0,1.0,1.0,2.0,7.0,150.0
-9064100704535292718,0.0,1.0,1.0,1.0,12.0,51.0
-9056114023474725450,0.0,0.0,0.0,1.0,13.0,17.0
-9055044275358686874,2.0,1.0,0.0,2.0,9.0,227.0
-9050450867630628092,0.0,0.0,0.0,0.0,17.0,17.0
-9045753673721269477,1.0,0.0,1.0,1.0,3.0,132.0
-9041823059579281174,0.0,0.0,0.0,0.0,7.0,7.0
-9041546321432974047,0.0,0.0,0.0,0.0,3.0,3.0
-9040419159428373932,0.0,0.0,0.0,0.0,1.0,1.0
-9039021554659316935,0.0,0.0,0.0,3.0,12.0,24.0
-9033346036688923648,0.0,0.0,0.0,0.0,2.0,2.0
-9033211547111606164,0.0,1.0,1.0,3.0,31.0,78.0
-9028990334396397584,2.0,0.0,0.0,2.0,31.0,239.0
-9020955625521881630,0.0,0.0,0.0,1.0,7.0,11.0
-9019582414165805420,0.0,4.0,2.0,8.0,78.0,200.0
-9019233957195913605,1.0,0.0,0.0,7.0,77.0,205.0
-9007594455502730692,0.0,0.0,0.0,0.0,2.0,2.0
-9002191823887486987,2.0,0.0,0.0,1.0,4.0,208.0
-8996656559398843485,0.0,0.0,0.0,1.0,5.0,9.0
-8992803137960175254,4.0,1.0,3.0,11.0,78.0,607.0
-8992201526199201450,2.0,0.0,0.0,3.0,47.0,259.0
-8984665034930053829,1.0,0.0,0.0,0.0,13.0,113.0
